trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-234.87271420661187,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 4}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-31.888911924196787,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-91.10551734396203,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-68.6409658841635,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",30,0,-215.39293572254658,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-121.85566091757072,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-94.27577345543912,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,5,-78.10033921976411,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-205.2927648100881,"{0: 9, 1: 4, 2: 8, 3: 2, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",25,12,-31.5454931146693,"{0: 8, 1: 4, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,4,-92.8673446339633,"{0: 8, 1: 1, 2: 4, 3: 3, 4: 0}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-220.99299657540166,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-110.17406723850117,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-71.42127275418899,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-120.04242089653135,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-78.51168934273791,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-99.41132172643304,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-84.35803407294469,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,4,-117.15121343290443,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-93.95926832820098,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-202.61370112316962,"{0: 11, 1: 1, 2: 9, 3: 2, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,11,-87.61273079331879,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 1}",1
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,6,-23.304031304498096,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",25,0,-196.5668394730841,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-122.03719067354207,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-82.65964481644856,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",30,0,-51.648513513843,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-208.96197479669178,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-49.47543957787385,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-181.992886580376,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-123.88968374811756,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-88.82233105043316,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-116.98114011721071,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-105.60740748837966,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,9,-73.0423723317823,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,15,-0.7297435777839363,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-42.68635513342337,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-103.48592801847109,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,3,-81.0396076243341,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
